Company Category,Company,Overall Job Category,Job Category,Title,Min Experience,Max Experience,Country,State,City,Location Type,JobType,Job Link,Activated Date,Skills,Min Salary,Max Salary
Gaming Company,Cloud Imperium Games,,,Executive Assistant,,,United Kingdom,England,Manchester,On Site,Full Time,https://cloudimperiumgames.wd1.myworkdayjobs.com/en-US/CIG_Global_Careers/job/Manchester/Executive-Assistant_JR101161-1?utm_source=outscal.com&utm_campaign=outscal_jobs&utm_medium=outscal_job_portal&utm_content=outscal_job_apply&utm_term=outscal_jobs,02 Aug 2025,"Excel, game texts, Multiplayer",,
Gaming Company,Devoteam,Engineering & Development,Devops,Azure Cloud Engineer,,,Netherlands,North Holland,Amsterdam,On Site,Full Time,https://jobs.smartrecruiters.com/devoteam/744000073001304-azure-cloud-engineer?utm_source=outscal.com&utm_campaign=outscal_jobs&utm_medium=outscal_job_portal&utm_content=outscal_job_apply&utm_term=outscal_jobs,02 Aug 2025,"Agile Development, AWS, Azure, Azure DevOps, CI/CD, Docker, game texts, GitHub, Kubernetes, Podman, Terraform",,
Gaming Company,Devoteam,Operations & Admin,Operations,Operations Manager - Microsoft,8,,Netherlands,North Holland,Amsterdam,On Site,Full Time,https://jobs.smartrecruiters.com/devoteam/744000074019622-operations-manager-microsoft-?utm_source=outscal.com&utm_campaign=outscal_jobs&utm_medium=outscal_job_portal&utm_content=outscal_job_apply&utm_term=outscal_jobs,02 Aug 2025,"AWS, game texts",,
Gaming Company,DMG,Operations & Admin,Operations,Billing Operations Lead,3,,United States,Ohio,Cincinnati,On Site,Full Time,https://jobs.jobvite.com/dmg/job/os3Ewfwp?utm_source=outscal.com&utm_campaign=outscal_jobs&utm_medium=outscal_job_portal&utm_content=outscal_job_apply&utm_term=outscal_jobs,02 Aug 2025,"Accounting, Communication, Excel, game texts, Internal Audit, Microsoft Office, MS Office, Time Management",,
Gaming Company,DMG,,,Accounts Receivable/Collections Specialist,2,,United States,Ohio,Cincinnati,On Site,Full Time,https://jobs.jobvite.com/dmg/job/oqWOvfwp?utm_source=outscal.com&utm_campaign=outscal_jobs&utm_medium=outscal_job_portal&utm_content=outscal_job_apply&utm_term=outscal_jobs,02 Aug 2025,"Accounting, Communication, Excel, game texts",,
Gaming Company,DMG,,,Property Inspection Specialist,,,India,Karnataka,Bengaluru,Remote,Full Time,https://jobs.jobvite.com/dmg/job/oieRwfwD?utm_source=outscal.com&utm_campaign=outscal_jobs&utm_medium=outscal_job_portal&utm_content=outscal_job_apply&utm_term=outscal_jobs,02 Aug 2025,"Communication, Data Entry, Data Structures, game texts, Microsoft Office, MS Office",,
Gaming Company,Mattel Inc,Account Management,Account Management,CDD - Key Account Manager Games/Toys,,,France,Île-de-France,Bagneux,On Site,Full Time,https://jobs.smartrecruiters.com/MattelInc/744000071017875-cdd-compte-cle-jeux-jouet?utm_source=outscal.com&utm_campaign=outscal_jobs&utm_medium=outscal_job_portal&utm_content=outscal_job_apply&utm_term=outscal_jobs,02 Aug 2025,"Budget Management, Communication, game texts, Team Management",,
Gaming Company,Mattel Inc,"Product, Project, and Program Management",Product Management,Marketing Assistant Internship Product Manager Toys & Games,,1,France,Île-de-France,Bagneux,On Site,Full Time,https://jobs.smartrecruiters.com/MattelInc/744000073962073-stage-marketing-assistant-e-chef-de-produit-jeux-jouets?utm_source=outscal.com&utm_campaign=outscal_jobs&utm_medium=outscal_job_portal&utm_content=outscal_job_apply&utm_term=outscal_jobs,02 Aug 2025,"Communication, game texts",12 April 1949,
Gaming Company,Moloco,"Product, Project, and Program Management",Product Management,Group Product Manager - Moloco Ads (Mandarin-Speaking),7,,Singapore,,,On Site,Full Time,https://job-boards.greenhouse.io/moloco/jobs/6659542003?utm_source=outscal.com&utm_campaign=outscal_jobs&utm_medium=outscal_job_portal&utm_content=outscal_job_apply&utm_term=outscal_jobs,02 Aug 2025,"Cross-Functional, game texts, Machine Learning, Market Research, Team Management",,
Gaming Company,Overwolf,Business Development & Sales,Business Development,Business Development Manager - Japan,6,,Japan,Tokyo,,On Site,Full Time,https://www.comeet.com/jobs/overwolf/B1.001/business-development-manager---japan/9A.55A?utm_source=outscal.com&utm_campaign=outscal_jobs&utm_medium=outscal_job_portal&utm_content=outscal_job_apply&utm_term=outscal_jobs,02 Aug 2025,"Communication, Cross-Functional, game texts, Networking",,
Gaming Company,Quilt,Engineering & Development,Software Development & Engineering,Senior/ Staff Embedded Software Engineer,5,,United States,California,Redwood City,Hybrid,Full Time,https://job-boards.greenhouse.io/quilt/jobs/4809246007?gh_src=8eba49007us&utm_source=outscal.com&utm_campaign=outscal_jobs&utm_medium=outscal_job_portal&utm_content=outscal_job_apply&utm_term=outscal_jobs,02 Aug 2025,"Communication, C++, Cross-Functional, game texts, Linux, Talent Acquisition, Team Management",10 June 2365,210000
