Application_Status,Job_Status,Verification_Confidence,Company_Category,Job_Category,Job_Title,Job Link,Location_Type,Activated Date,Skills,Min Salary,Max Salary,Verification_Confidence,URL_Status_Code,Keywords_Found,Title_Match_Score,Job_Status,Date_Found,Last_Updated
Applied,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,
Applied,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,
Pending,,,,,,,,,,,,,,,,,,
Skipped,,,,,,,,,,,,,,,,,,
Not Selected,,,,,,,,,,,,,,,,,,
Closed,,,,,,,,,,,,,,,,,,
Withdrawn ,,,,,,,,,,,,,,,,,,
Offer Extended,,,,,,,,,,,,,,,,,,
