Company Category,Company,Overall Job Category,Job Category,Title,Min Experience,Max Experience,Country,State,City,Location Type,JobType,Job Link,Activated Date,Skills,Min Salary,Max Salary
Gaming Company,Activision,Data & Analytics,Data-analysis,"Senior Manager, Data Science and Economics",10.0,,United States,California,Santa Monica,Hybrid,Full-time,https://activision.wd1.myworkdayjobs.com/en-US/External/job/Santa-Monica/Senior-Manager--Data-Science-and-Economics_R026276,29 Oct 2025,"Communication, data-analytics, game-texts, data-science, python, sql, machine-learning",134320.0,248404.0
Gaming Company,Amazon games,Game Design,Game-ai,"Senior Technical Program Manager, AI Games, Amazon Luna",7.0,,United States,,,On-site,Full-time,https://www.amazon.jobs/jobs/3115921,29 Oct 2025,"Cross-functional, unity, talent-acquisition, game-texts, automated-testing, aws, python, sql",133900.0,231400.0
Gaming Company,Anavation,Engineering & Development,Programming,Junior Software Developer,1.0,,United States,District of Columbia,Washington,On-site,Full-time,https://jobs.lever.co/anavationllc/9b075d4f-671e-46df-892c-b9f54360d8aa,29 Oct 2025,"Team-management, communication, design-patterns, github, talent-acquisition, game-texts, agile-development, react, aws, azure, hibernate, ci-cd, angular, docker, nestjs, git, python, next.js, typescript, javascript, java",,
Gaming Company,Anthology Inc,Engineering & Development,Software-development-&-engineering,Implementation Consultant II,2.0,,India,Karnataka,Bengaluru,Hybrid,Full-time,https://jobs.jobvite.com/anthology/job/ojpWwfwU,29 Oct 2025,"Communication, problem-solving, risk-management, risk-mitigation, game-texts, salesforce, sql",,
Gaming Company,awem,Art & Tech Art,Motion-design,2D Motion Designer,2.0,,,,,Remote,Full-time,https://awem.com/vacancy/2d-motion-des,29 Oct 2025,"Character-design, color-theory, talent-acquisition, game-texts, composition, spine, photoshop, blender",,
Gaming Company,Bazaar Voice,Localization & Translation,Localization,Technical Consultant - German Speaking,,,Lithuania,Vilnius County,Vilnius,Hybrid,Full-time,https://jobs.lever.co/bazaarvoice/69da9f32-b823-4eef-b943-53214a223b61,29 Oct 2025,"Team-management, communication, problem-solving, talent-acquisition, game-texts, quality-control, html, seo, mean, javascript, css",26400.0,30000.0
Gaming Company,Behaviour Interactive,Game Design,Game-design,Game Designer - Winter 2026 Internship,,,United Kingdom,England,Middlesbrough,Hybrid,Full-time,https://jobs.lever.co/bhvr/3a52e1a1-643e-4878-9e27-5cb9d1982ba0,29 Oct 2025,"Communication, talent-acquisition, game-texts, prototyping",,
Gaming Company,Blue zoo,Video and Video Editing,Video-editing,Junior Channel Manager/Video Editor – YouTube (& Streaming Platforms),0.5,,United Kingdom,England,London,Remote,Contract,https://careers.blue-zoo.co.uk/vacancies/1081/junior-channel-manager-video-editor--youtube--streaming-platforms.html,29 Oct 2025,"Communication, motion-graphics, game-texts, photoshop, adobe-premiere",,
Gaming Company,Catface,Writing & Narrative,Editorial,Video Script Writer,4.0,,United States,Texas,Austin,Remote,Full-time,https://catface.bamboohr.com/careers/156,29 Oct 2025,"Communication, visual-storytelling, game-texts, proofreading, storytelling, agile-development",60000.0,70000.0
Gaming Company,CD PROJEKT RED,Animation & Cinematics,3d-animation,"Cinematic Animator, Open World (contract)",2.0,,Poland,Masovian Voivodeship,Warsaw,Hybrid,Full-time,https://jobs.smartrecruiters.com/CDPROJEKTRED/744000090388465-cinematic-animator-open-world-contract-,29 Oct 2025,"Motion-capture, rigging, character-design, oops, unreal, game-texts, storytelling, prototyping, blueprints, creature, maya",,
